,n_channels_1,n_channels_2,n_fully_connected,acc
0,16.0,32.0,64.0,0.9897491931915283
1,16.0,32.0,128.0,0.9888535141944885
2,16.0,32.0,256.0,0.9877587556838989
3,16.0,64.0,64.0,0.9911425113677979
4,16.0,64.0,128.0,0.991042971611023
5,16.0,64.0,256.0,0.9900477528572083
6,16.0,128.0,64.0,0.9875597357749939
7,16.0,128.0,128.0,0.9904458522796631
8,16.0,128.0,256.0,0.9908439517021179
9,32.0,32.0,64.0,0.990744411945343
10,32.0,32.0,128.0,0.9893510937690735
11,32.0,32.0,256.0,0.9901472926139832
12,32.0,64.0,64.0,0.9911425113677979
13,32.0,64.0,128.0,0.987957775592804
14,32.0,64.0,256.0,0.9895501732826233
15,32.0,128.0,64.0,0.9892516136169434
16,32.0,128.0,128.0,0.993630588054657
17,32.0,128.0,256.0,0.9914410710334778
18,64.0,32.0,64.0,0.990545392036438
19,64.0,32.0,128.0,0.9903463125228882
20,64.0,32.0,256.0,0.990545392036438
21,64.0,64.0,64.0,0.9923368096351624
22,64.0,64.0,128.0,0.9925358295440674
23,64.0,64.0,256.0,0.990744411945343
24,64.0,128.0,64.0,0.9917396306991577
25,64.0,128.0,128.0,0.9899482727050781
26,64.0,128.0,256.0,0.987659215927124
