,n_channels_1,n_channels_2,n_fc_1,n_fc_2,acc
0,16.0,16.0,64.0,64.0,0.990744411945343
1,16.0,16.0,64.0,128.0,0.9887539744377136
2,16.0,16.0,64.0,256.0,0.9875597357749939
3,16.0,16.0,128.0,64.0,0.9886544346809387
4,16.0,16.0,128.0,128.0,0.9894506335258484
5,16.0,16.0,128.0,256.0,0.9895501732826233
6,16.0,16.0,256.0,64.0,0.990744411945343
7,16.0,16.0,256.0,128.0,0.9917396306991577
8,16.0,16.0,256.0,256.0,0.9902468323707581
9,16.0,32.0,64.0,64.0,0.9871616363525391
10,16.0,32.0,64.0,128.0,0.9898487329483032
11,16.0,32.0,64.0,256.0,0.9878582954406738
12,16.0,32.0,128.0,64.0,0.9921377301216125
13,16.0,32.0,128.0,128.0,0.981289803981781
14,16.0,32.0,128.0,256.0,0.9898487329483032
15,16.0,32.0,256.0,64.0,0.9886544346809387
16,16.0,32.0,256.0,128.0,0.9890525341033936
17,16.0,32.0,256.0,256.0,0.9917396306991577
18,16.0,64.0,64.0,64.0,0.9890525341033936
19,16.0,64.0,64.0,128.0,0.9897491931915283
20,16.0,64.0,64.0,256.0,0.9915406107902527
21,16.0,64.0,128.0,64.0,0.9875597357749939
22,16.0,64.0,128.0,128.0,0.9912420511245728
23,16.0,64.0,128.0,256.0,0.9888535141944885
24,16.0,64.0,256.0,64.0,0.9882563948631287
25,16.0,64.0,256.0,128.0,0.9899482727050781
26,16.0,64.0,256.0,256.0,0.9917396306991577
27,32.0,16.0,64.0,64.0,0.9914410710334778
28,32.0,16.0,64.0,128.0,0.9885549545288086
29,32.0,16.0,64.0,256.0,0.9896496534347534
30,32.0,16.0,128.0,64.0,0.9906449317932129
31,32.0,16.0,128.0,128.0,0.9864649772644043
32,32.0,16.0,128.0,256.0,0.9902468323707581
33,32.0,16.0,256.0,64.0,0.9908439517021179
34,32.0,16.0,256.0,128.0,0.9914410710334778
35,32.0,16.0,256.0,256.0,0.9901472926139832
36,32.0,32.0,64.0,64.0,0.9918391704559326
37,32.0,32.0,64.0,128.0,0.9925358295440674
38,32.0,32.0,64.0,256.0,0.9899482727050781
39,32.0,32.0,128.0,64.0,0.9918391704559326
40,32.0,32.0,128.0,128.0,0.9900477528572083
41,32.0,32.0,128.0,256.0,0.9892516136169434
42,32.0,32.0,256.0,64.0,0.9911425113677979
43,32.0,32.0,256.0,128.0,0.987261176109314
44,32.0,32.0,256.0,256.0,0.9889530539512634
45,32.0,64.0,64.0,64.0,0.9891520738601685
46,32.0,64.0,64.0,128.0,0.9924362897872925
47,32.0,64.0,64.0,256.0,0.9916401505470276
48,32.0,64.0,128.0,64.0,0.9889530539512634
49,32.0,64.0,128.0,128.0,0.9914410710334778
50,32.0,64.0,128.0,256.0,0.9900477528572083
51,32.0,64.0,256.0,64.0,0.9880573153495789
52,32.0,64.0,256.0,128.0,0.990545392036438
53,32.0,64.0,256.0,256.0,0.9904458522796631
54,64.0,16.0,64.0,64.0,0.9877587556838989
55,64.0,16.0,64.0,128.0,0.9867635369300842
56,64.0,16.0,64.0,256.0,0.9894506335258484
57,64.0,16.0,128.0,64.0,0.9881568551063538
58,64.0,16.0,128.0,128.0,0.9912420511245728
59,64.0,16.0,128.0,256.0,0.9888535141944885
60,64.0,16.0,256.0,64.0,0.9900477528572083
61,64.0,16.0,256.0,128.0,0.9851711988449097
62,64.0,16.0,256.0,256.0,0.9902468323707581
63,64.0,32.0,64.0,64.0,0.9869625568389893
64,64.0,32.0,64.0,128.0,0.9904458522796631
65,64.0,32.0,64.0,256.0,0.9850716590881348
66,64.0,32.0,128.0,64.0,0.9899482727050781
67,64.0,32.0,128.0,128.0,0.9915406107902527
68,64.0,32.0,128.0,256.0,0.9896496534347534
69,64.0,32.0,256.0,64.0,0.9887539744377136
70,64.0,32.0,256.0,128.0,0.987261176109314
71,64.0,32.0,256.0,256.0,0.9916401505470276
72,64.0,64.0,64.0,64.0,0.990744411945343
73,64.0,64.0,64.0,128.0,0.9929339289665222
74,64.0,64.0,64.0,256.0,0.9890525341033936
75,64.0,64.0,128.0,64.0,0.987957775592804
76,64.0,64.0,128.0,128.0,0.9916401505470276
77,64.0,64.0,128.0,256.0,0.9916401505470276
78,64.0,64.0,256.0,64.0,0.9917396306991577
79,64.0,64.0,256.0,128.0,0.9896496534347534
80,64.0,64.0,256.0,256.0,0.991042971611023
