,n_channels_1,n_channels_2,n_channels_3,n_fully_connected,acc
0,16.0,16.0,16.0,64.0,0.9896496534347534
1,16.0,16.0,16.0,128.0,0.9908439517021179
2,16.0,16.0,16.0,256.0,0.9892516136169434
3,16.0,16.0,32.0,64.0,0.991042971611023
4,16.0,16.0,32.0,128.0,0.9891520738601685
5,16.0,16.0,32.0,256.0,0.9894506335258484
6,16.0,16.0,64.0,64.0,0.9894506335258484
7,16.0,16.0,64.0,128.0,0.9902468323707581
8,16.0,16.0,64.0,256.0,0.9898487329483032
9,16.0,32.0,16.0,64.0,0.9900477528572083
10,16.0,32.0,16.0,128.0,0.990545392036438
11,16.0,32.0,16.0,256.0,0.9892516136169434
12,16.0,32.0,32.0,64.0,0.9917396306991577
13,16.0,32.0,32.0,128.0,0.987957775592804
14,16.0,32.0,32.0,256.0,0.9864649772644043
15,16.0,32.0,64.0,64.0,0.990744411945343
16,16.0,32.0,64.0,128.0,0.9921377301216125
17,16.0,32.0,64.0,256.0,0.9895501732826233
18,16.0,64.0,16.0,64.0,0.9911425113677979
19,16.0,64.0,16.0,128.0,0.9908439517021179
20,16.0,64.0,16.0,256.0,0.991042971611023
21,16.0,64.0,32.0,64.0,0.9930334687232971
22,16.0,64.0,32.0,128.0,0.9902468323707581
23,16.0,64.0,32.0,256.0,0.987957775592804
24,16.0,64.0,64.0,64.0,0.9929339289665222
25,16.0,64.0,64.0,128.0,0.9925358295440674
26,16.0,64.0,64.0,256.0,0.990744411945343
27,32.0,16.0,16.0,64.0,0.9887539744377136
28,32.0,16.0,16.0,128.0,0.990545392036438
29,32.0,16.0,16.0,256.0,0.9883558750152588
30,32.0,16.0,32.0,64.0,0.9922372698783875
31,32.0,16.0,32.0,128.0,0.990545392036438
32,32.0,16.0,32.0,256.0,0.9900477528572083
33,32.0,16.0,64.0,64.0,0.9922372698783875
34,32.0,16.0,64.0,128.0,0.9902468323707581
35,32.0,16.0,64.0,256.0,0.9925358295440674
36,32.0,32.0,16.0,64.0,0.9900477528572083
37,32.0,32.0,16.0,128.0,0.9901472926139832
38,32.0,32.0,16.0,256.0,0.9866639971733093
39,32.0,32.0,32.0,64.0,0.9899482727050781
40,32.0,32.0,32.0,128.0,0.9904458522796631
41,32.0,32.0,32.0,256.0,0.9904458522796631
42,32.0,32.0,64.0,64.0,0.9901472926139832
43,32.0,32.0,64.0,128.0,0.9916401505470276
44,32.0,32.0,64.0,256.0,0.9881568551063538
45,32.0,64.0,16.0,64.0,0.9877587556838989
46,32.0,64.0,16.0,128.0,0.9913415312767029
47,32.0,64.0,16.0,256.0,0.9893510937690735
48,32.0,64.0,32.0,64.0,0.9925358295440674
49,32.0,64.0,32.0,128.0,0.9926353693008423
50,32.0,64.0,32.0,256.0,0.9868630766868591
51,32.0,64.0,64.0,64.0,0.9931329488754272
52,32.0,64.0,64.0,128.0,0.9908439517021179
53,32.0,64.0,64.0,256.0,0.9837778806686401
54,64.0,16.0,16.0,64.0,0.9881568551063538
55,64.0,16.0,16.0,128.0,0.9892516136169434
56,64.0,16.0,16.0,256.0,0.9904458522796631
57,64.0,16.0,32.0,64.0,0.9886544346809387
58,64.0,16.0,32.0,128.0,0.9906449317932129
59,64.0,16.0,32.0,256.0,0.9903463125228882
60,64.0,16.0,64.0,64.0,0.9914410710334778
61,64.0,16.0,64.0,128.0,0.9882563948631287
62,64.0,16.0,64.0,256.0,0.9900477528572083
63,64.0,32.0,16.0,64.0,0.9897491931915283
64,64.0,32.0,16.0,128.0,0.9895501732826233
65,64.0,32.0,16.0,256.0,0.9887539744377136
66,64.0,32.0,32.0,64.0,0.990545392036438
67,64.0,32.0,32.0,128.0,0.9888535141944885
68,64.0,32.0,32.0,256.0,0.9898487329483032
69,64.0,32.0,64.0,64.0,0.9906449317932129
70,64.0,32.0,64.0,128.0,0.9917396306991577
71,64.0,32.0,64.0,256.0,0.9914410710334778
72,64.0,64.0,16.0,64.0,0.987957775592804
73,64.0,64.0,16.0,128.0,0.9850716590881348
74,64.0,64.0,16.0,256.0,0.9882563948631287
75,64.0,64.0,32.0,64.0,0.9911425113677979
76,64.0,64.0,32.0,128.0,0.9913415312767029
77,64.0,64.0,32.0,256.0,0.9909434914588928
78,64.0,64.0,64.0,64.0,0.9921377301216125
79,64.0,64.0,64.0,128.0,0.990744411945343
80,64.0,64.0,64.0,256.0,0.991042971611023
