,n_channels_1,n_channels_2,n_channels_3,n_fc_1,n_fc_2,acc
0,16.0,16.0,16.0,64.0,64.0,0.9889530539512634
1,16.0,16.0,16.0,64.0,128.0,0.9895501732826233
2,16.0,16.0,16.0,64.0,256.0,0.9885549545288086
3,16.0,16.0,16.0,128.0,64.0,0.9771098494529724
4,16.0,16.0,16.0,128.0,128.0,0.9880573153495789
5,16.0,16.0,16.0,128.0,256.0,0.9861664175987244
6,16.0,16.0,16.0,256.0,64.0,0.9883558750152588
7,16.0,16.0,16.0,256.0,128.0,0.9867635369300842
8,16.0,16.0,16.0,256.0,256.0,0.9883558750152588
9,16.0,16.0,32.0,64.0,64.0,0.9896496534347534
10,16.0,16.0,32.0,64.0,128.0,0.9902468323707581
11,16.0,16.0,32.0,64.0,256.0,0.9911425113677979
12,16.0,16.0,32.0,128.0,64.0,0.9904458522796631
13,16.0,16.0,32.0,128.0,128.0,0.9904458522796631
14,16.0,16.0,32.0,128.0,256.0,0.9884554147720337
15,16.0,16.0,32.0,256.0,64.0,0.990545392036438
16,16.0,16.0,32.0,256.0,128.0,0.9908439517021179
17,16.0,16.0,32.0,256.0,256.0,0.9901472926139832
18,16.0,16.0,64.0,64.0,64.0,0.9898487329483032
19,16.0,16.0,64.0,64.0,128.0,0.9912420511245728
20,16.0,16.0,64.0,64.0,256.0,0.9899482727050781
21,16.0,16.0,64.0,128.0,64.0,0.9881568551063538
22,16.0,16.0,64.0,128.0,128.0,0.9893510937690735
23,16.0,16.0,64.0,128.0,256.0,0.9868630766868591
24,16.0,16.0,64.0,256.0,64.0,0.9891520738601685
25,16.0,16.0,64.0,256.0,128.0,0.9893510937690735
26,16.0,16.0,64.0,256.0,256.0,0.9849721193313599
27,16.0,32.0,16.0,64.0,64.0,0.9896496534347534
28,16.0,32.0,16.0,64.0,128.0,0.9904458522796631
29,16.0,32.0,16.0,64.0,256.0,0.9900477528572083
30,16.0,32.0,16.0,128.0,64.0,0.9891520738601685
31,16.0,32.0,16.0,128.0,128.0,0.990744411945343
32,16.0,32.0,16.0,128.0,256.0,0.9895501732826233
33,16.0,32.0,16.0,256.0,64.0,0.9918391704559326
34,16.0,32.0,16.0,256.0,128.0,0.9895501732826233
35,16.0,32.0,16.0,256.0,256.0,0.9894506335258484
36,16.0,32.0,32.0,64.0,64.0,0.9903463125228882
37,16.0,32.0,32.0,64.0,128.0,0.9890525341033936
38,16.0,32.0,32.0,64.0,256.0,0.9887539744377136
39,16.0,32.0,32.0,128.0,64.0,0.9903463125228882
40,16.0,32.0,32.0,128.0,128.0,0.9915406107902527
41,16.0,32.0,32.0,128.0,256.0,0.9914410710334778
42,16.0,32.0,32.0,256.0,64.0,0.9911425113677979
43,16.0,32.0,32.0,256.0,128.0,0.9891520738601685
44,16.0,32.0,32.0,256.0,256.0,0.9901472926139832
45,16.0,32.0,64.0,64.0,64.0,0.9889530539512634
46,16.0,32.0,64.0,64.0,128.0,0.990545392036438
47,16.0,32.0,64.0,64.0,256.0,0.990744411945343
48,16.0,32.0,64.0,128.0,64.0,0.990545392036438
49,16.0,32.0,64.0,128.0,128.0,0.9871616363525391
50,16.0,32.0,64.0,128.0,256.0,0.9913415312767029
51,16.0,32.0,64.0,256.0,64.0,0.9915406107902527
52,16.0,32.0,64.0,256.0,128.0,0.9908439517021179
53,16.0,32.0,64.0,256.0,256.0,0.9840764403343201
54,16.0,64.0,16.0,64.0,64.0,0.9898487329483032
55,16.0,64.0,16.0,64.0,128.0,0.987957775592804
56,16.0,64.0,16.0,64.0,256.0,0.9902468323707581
57,16.0,64.0,16.0,128.0,64.0,0.9922372698783875
58,16.0,64.0,16.0,128.0,128.0,0.9854697585105896
59,16.0,64.0,16.0,128.0,256.0,0.9902468323707581
60,16.0,64.0,16.0,256.0,64.0,0.9893510937690735
61,16.0,64.0,16.0,256.0,128.0,0.991042971611023
62,16.0,64.0,16.0,256.0,256.0,0.9915406107902527
63,16.0,64.0,32.0,64.0,64.0,0.9934315085411072
64,16.0,64.0,32.0,64.0,128.0,0.9870620965957642
65,16.0,64.0,32.0,64.0,256.0,0.9858678579330444
66,16.0,64.0,32.0,128.0,64.0,0.9909434914588928
67,16.0,64.0,32.0,128.0,128.0,0.9886544346809387
68,16.0,64.0,32.0,128.0,256.0,0.9895501732826233
69,16.0,64.0,32.0,256.0,64.0,0.9929339289665222
70,16.0,64.0,32.0,256.0,128.0,0.9912420511245728
71,16.0,64.0,32.0,256.0,256.0,0.9890525341033936
72,16.0,64.0,64.0,64.0,64.0,0.9888535141944885
73,16.0,64.0,64.0,64.0,128.0,0.9924362897872925
74,16.0,64.0,64.0,64.0,256.0,0.981488823890686
75,16.0,64.0,64.0,128.0,64.0,0.9902468323707581
76,16.0,64.0,64.0,128.0,128.0,0.9902468323707581
77,16.0,64.0,64.0,128.0,256.0,0.9915406107902527
78,16.0,64.0,64.0,256.0,64.0,0.9915406107902527
79,16.0,64.0,64.0,256.0,128.0,0.990545392036438
80,16.0,64.0,64.0,256.0,256.0,0.9898487329483032
81,32.0,16.0,16.0,64.0,64.0,0.9921377301216125
82,32.0,16.0,16.0,64.0,128.0,0.990744411945343
83,32.0,16.0,16.0,64.0,256.0,0.9898487329483032
84,32.0,16.0,16.0,128.0,64.0,0.9896496534347534
85,32.0,16.0,16.0,128.0,128.0,0.9891520738601685
86,32.0,16.0,16.0,128.0,256.0,0.9859673380851746
87,32.0,16.0,16.0,256.0,64.0,0.9895501732826233
88,32.0,16.0,16.0,256.0,128.0,0.9908439517021179
89,32.0,16.0,16.0,256.0,256.0,0.9901472926139832
90,32.0,16.0,32.0,64.0,64.0,0.9894506335258484
91,32.0,16.0,32.0,64.0,128.0,0.9883558750152588
92,32.0,16.0,32.0,64.0,256.0,0.9875597357749939
93,32.0,16.0,32.0,128.0,64.0,0.9903463125228882
94,32.0,16.0,32.0,128.0,128.0,0.9895501732826233
95,32.0,16.0,32.0,128.0,256.0,0.9871616363525391
96,32.0,16.0,32.0,256.0,64.0,0.9891520738601685
97,32.0,16.0,32.0,256.0,128.0,0.9906449317932129
98,32.0,16.0,32.0,256.0,256.0,0.9858678579330444
99,32.0,16.0,64.0,64.0,64.0,0.9906449317932129
100,32.0,16.0,64.0,64.0,128.0,0.9921377301216125
101,32.0,16.0,64.0,64.0,256.0,0.9917396306991577
102,32.0,16.0,64.0,128.0,64.0,0.9902468323707581
103,32.0,16.0,64.0,128.0,128.0,0.9918391704559326
104,32.0,16.0,64.0,128.0,256.0,0.987957775592804
105,32.0,16.0,64.0,256.0,64.0,0.9909434914588928
106,32.0,16.0,64.0,256.0,128.0,0.9917396306991577
107,32.0,16.0,64.0,256.0,256.0,0.9865645170211792
108,32.0,32.0,16.0,64.0,64.0,0.9886544346809387
109,32.0,32.0,16.0,64.0,128.0,0.9875597357749939
110,32.0,32.0,16.0,64.0,256.0,0.9885549545288086
111,32.0,32.0,16.0,128.0,64.0,0.9898487329483032
112,32.0,32.0,16.0,128.0,128.0,0.9908439517021179
113,32.0,32.0,16.0,128.0,256.0,0.9912420511245728
114,32.0,32.0,16.0,256.0,64.0,0.9886544346809387
115,32.0,32.0,16.0,256.0,128.0,0.9904458522796631
116,32.0,32.0,16.0,256.0,256.0,0.9895501732826233
117,32.0,32.0,32.0,64.0,64.0,0.9875597357749939
